연번,유형,메인 카테고리,제목,질문,보기1,보기2,보기3,보기4,정답,해설
82,4지선다,데이터베이스,임시제목,NoSQL의 특징으로 올바른 것은 무엇인가요?,엄격한 스키마 구조,관계형 모델 사용,스키마 유연성,Join 사용 가능,3,NoSQL은 스키마가 유연해 구조를 자유롭게 조정할 수 있습니다.
83,4지선다,데이터베이스,임시제목,MySQL의 InnoDB 엔진에서 데이터를 복구하는 데 사용되는 것은 무엇인가요?,Undo Log,Insert Buffer,Redo Log,Data Buffer,3,Redo Log는 트랜잭션 커밋 후 발생한 장애 시 데이터를 복구하는 데 사용됩니다.
84,4지선다,데이터베이스,임시제목,DB Connection Pool의 주된 이점은 무엇인가요?,접속 속도 저하 방지,데이터 일관성 유지,접속 대기 시간 단축,데이터 처리 속도 감소,3,DB Connection Pool은 대기 시간을 줄여 접속 속도를 개선합니다.
85,4지선다,데이터베이스,임시제목,SQL에서 DISTINCT 키워드는 무엇을 하나요?,테이블을 삭제,중복 데이터를 제거,테이블 간 데이터 결합,특정 데이터를 잠금,2,DISTINCT는 중복된 데이터를 제거하여 고유한 결과만 조회할 때 사용됩니다.
86,4지선다,자료구조,임시제목,Array의 장점은 무엇인가요?,삽입과 삭제가 빠름,메모리 사용 효율성이 높음,인덱스로 원소에 빠르게 접근 가능,무한히 많은 요소 저장 가능,3,Array는 인덱스를 통해 O(1) 시간에 원소에 접근할 수 있어 random access가 가능하다는 장점이 있습니다.
87,4지선다,자료구조,임시제목,Linked List의 삽입과 삭제 시간 복잡도는 무엇인가요?,O(1),O(n),O(log n),O(n^2),1,Linked List에서는 삽입과 삭제 시 포인터만 수정하면 되기 때문에 O(1)의 시간 복잡도를 가집니다.
88,4지선다,자료구조,임시제목,Stack의 가장 큰 특징은 무엇인가요?,FIFO 구조,LIFO 구조,스택 크기 조절 가능,요소 접근 속도가 빠름,2,"Stack은 LIFO 구조로, 가장 나중에 들어간 원소가 먼저 나오는 구조입니다."
89,4지선다,자료구조,임시제목,Queue에서 먼저 삭제되는 원소는 무엇인가요?,마지막에 들어온 원소,아무 원소나 선택 가능,가장 먼저 들어온 원소,중간에 들어온 원소,3,"Queue는 FIFO 구조로, 가장 먼저 들어온 원소가 가장 먼저 삭제됩니다."
90,4지선다,자료구조,임시제목,Binary Tree에서 레벨 0에 위치한 노드는 무엇인가요?,Leaf Node,Root Node,Internal Node,Child Node,2,"트리의 최상위에 위치한 노드를 Root Node라고 하며, 레벨 0에 위치합니다."
91,4지선다,자료구조,임시제목,이진 탐색 트리(BST)의 특성이 아닌 것은?,모든 노드의 키는 유일함,왼쪽 자식은 부모보다 큼,오른쪽 자식은 부모보다 큼,재귀적으로 이진 탐색 트리를 이룸,2,이진 탐색 트리에서 왼쪽 자식은 부모보다 작아야 합니다.
92,4지선다,자료구조,임시제목,Full Binary Tree의 특징은 무엇인가요?,모든 노드가 0개 또는 2개의 자식을 가짐,모든 레벨이 꽉 찬 구조,하나의 노드만 존재,모든 노드가 같은 레벨에 위치,1,Full Binary Tree는 모든 노드가 0개 또는 2개의 자식 노드를 가집니다.
93,4지선다,자료구조,임시제목,Complete Binary Tree의 정의는 무엇인가요?,모든 레벨이 완전히 채워짐,"위에서 아래로, 왼쪽에서 오른쪽으로 차곡차곡 채워짐",모든 노드가 같은 높이에 위치,루트 노드만 존재,2,"Complete Binary Tree는 위에서 아래로, 왼쪽에서 오른쪽으로 순서대로 노드를 채운 이진 트리입니다."
94,4지선다,자료구조,임시제목,Binary Heap에서 최소값을 찾는 데 걸리는 시간 복잡도는?,O(log n),O(n),O(1),O(n^2),3,Min Heap에서는 루트 노드에 최소값이 있으므로 O(1) 시간에 최소값을 찾을 수 있습니다.
95,4지선다,자료구조,임시제목,Red-Black Tree의 삽입 시 노드의 기본 색상은?,Black,Red,Gray,White,2,Red-Black Tree에서 삽입되는 노드의 색상은 기본적으로 Red로 설정됩니다.
96,4지선다,자료구조,임시제목,Hash Table에서 충돌이 발생했을 때 충돌 해결 방법이 아닌 것은?,Separate Chaining,Open Addressing,Quadratic Probing,Sorting,4,"Sorting은 충돌 해결 방법이 아니며, Separate Chaining과 Open Addressing이 대표적인 충돌 해결 방법입니다."
97,4지선다,자료구조,임시제목,해시 테이블의 평균 검색 시간 복잡도는 무엇인가요?,O(n),O(log n),O(1),O(n^2),3,해시 테이블은 평균적으로 O(1)의 검색 시간을 가집니다.
98,4지선다,자료구조,임시제목,Separate Chaining 방식에서 충돌이 발생하면 어떤 자료구조를 주로 사용하나요?,Stack,Linked List,Queue,Tree,2,Separate Chaining 방식에서는 충돌이 발생하면 각 버킷에 연결 리스트를 만들어 충돌을 해결합니다.
99,4지선다,자료구조,임시제목,그래프에서 방향성이 있는 그래프를 무엇이라 하나요?,Weighted Graph,Digraph,Tree,Cycle Graph,2,방향성이 있는 그래프는 Directed Graph(Digraph)라고 부릅니다.
100,4지선다,자료구조,임시제목,그래프의 모든 간선에 가중치가 같은 경우 최단 경로를 찾는 알고리즘은?,Kruskal's Algorithm,Prim's Algorithm,BFS,DFS,3,모든 간선의 가중치가 같을 때는 BFS를 사용하여 최단 경로를 찾을 수 있습니다.
101,4지선다,자료구조,임시제목,Kruskal Algorithm의 기본 동작은 무엇인가요?,가장 큰 가중치 간선부터 연결,가중치가 작은 간선부터 연결하며 사이클 검사,루트 노드부터 연결 시작,모든 간선을 임의 순서로 연결,2,Kruskal Algorithm은 최소 가중치 간선부터 선택하여 사이클이 생기지 않도록 연결해 나갑니다.
102,4지선다,자료구조,임시제목,Prim Algorithm의 초기 상태는 무엇인가요?,모든 간선을 포함,모든 정점을 포함,한 개의 정점만 포함,한 개의 간선만 포함,3,Prim Algorithm은 한 개의 정점에서 시작하여 인접한 최소 가중치 간선을 추가하면서 MST를 구성합니다.
103,4지선다,자료구조,임시제목,그래프 탐색에서 DFS의 자료구조로 주로 사용되는 것은?,Queue,Stack,Heap,Tree,2,DFS에서는 Stack을 사용하여 깊이 우선 탐색을 수행합니다.
104,4지선다,자료구조,임시제목,그래프 탐색에서 BFS의 자료구조로 주로 사용되는 것은?,Stack,Tree,Queue,List,3,BFS는 Queue를 사용하여 너비 우선 탐색을 수행합니다.
105,4지선다,자료구조,임시제목,배열 기반의 자료구조로 구현된 Complete Binary Tree의 장점은 무엇인가요?,빠른 삽입과 삭제,정렬된 형태 유지,메모리 사용량 감소,random access 가능,4,배열 기반의 Complete Binary Tree는 배열 인덱스를 통해 노드에 빠르게 접근할 수 있습니다.
106,4지선다,자료구조,임시제목,Tree 자료구조의 비선형적 특성은 무엇인가요?,계층적 관계 표현,선형적 관계 표현,임의의 데이터 접근 불가,정렬된 데이터 저장,1,Tree 자료구조는 계층적 관계를 표현하는 비선형 자료구조입니다.
107,4지선다,자료구조,임시제목,트리의 높이를 구할 때 가장 높은 노드의 레벨을 무엇이라 하나요?,Depth,Leaf,Height,Root,3,트리의 가장 높은 노드의 레벨을 Height라고 부릅니다.
108,4지선다,자료구조,임시제목,이진 트리의 왼쪽 자식 노드에 위치하는 데이터의 특징은?,부모보다 크다,부모보다 작다,부모와 같다,임의의 값이다,2,이진 트리에서 왼쪽 자식 노드는 부모 노드보다 작은 값을 가집니다.
109,4지선다,자료구조,임시제목,해시 테이블의 리사이즈가 필요할 때 임계값은 무엇을 기준으로 하나요?,Load factor,Number of keys,Key length,Hash value,1,해시 테이블의 리사이즈는 Load factor를 기준으로 결정됩니다.
110,4지선다,자료구조,임시제목,스택에서 pop 연산의 시간 복잡도는 무엇인가요?,O(n),O(log n),O(1),O(n^2),3,"스택은 LIFO 구조로, pop 연산은 O(1) 시간에 수행됩니다."
111,4지선다,자료구조,임시제목,Queue에서 enque 연산을 할 때 삽입 위치는?,Front,Middle,Rear,Random,3,Queue에서 enque는 Rear에 삽입하여 FIFO 구조를 유지합니다.
112,4지선다,자료구조,임시제목,그래프의 인접 리스트 구현 방식의 장점은 무엇인가요?,모든 간선을 빠르게 찾음,메모리 효율적,모든 정점에 동시에 접근,동적 크기 확장 불가,2,"인접 리스트 방식은 메모리를 효율적으로 사용하며, Sparse 그래프에 적합합니다."
113,4지선다,자료구조,임시제목,해시 테이블에서 Double Hashing은 어떤 방식인가요?,Separate Chaining의 한 종류,동일한 해시 함수를 두 번 사용,두 번째 해시 함수로 새로운 해시 생성,정렬된 해시 값을 생성,3,Double Hashing은 충돌 시 두 번째 해시 함수를 사용해 다른 주소로 이동합니다.
114,4지선다,자료구조,임시제목,Red-Black Tree의 균형을 유지하는 방법은 무엇인가요?,무작위 삽입,각 노드 색상 조정과 회전,노드 간선을 변경,노드를 복사하여 배치,2,Red-Black Tree는 노드의 색상 조정과 회전을 통해 균형을 유지합니다.
115,4지선다,자료구조,임시제목,이진 탐색 트리에서 왼쪽 자식 노드가 없는 경우 삭제하려면 어떻게 하나요?,트리를 재구성,부모 노드와 교체,오른쪽 자식으로 대체,노드를 null로 설정,3,"이진 탐색 트리에서 삭제할 노드의 왼쪽 자식이 없을 때, 해당 노드를 오른쪽 자식으로 대체하여 트리의 연결 구조를 유지합니다."
116,4지선다,소프트웨어공학,임시제목,싱글턴 패턴이 필요한 경우로 적절한 상황은 무엇인가요?,다수의 유저 객체를 생성하여 처리할 때,데이터베이스 연결을 관리할 때,주기적으로 생성되는 임시 파일을 관리할 때,수많은 수학 연산을 처리할 때,2,싱글턴 패턴은 데이터베이스 연결과 같은 자원을 공유하는 객체에서 유용합니다. 여러 인스턴스가 생성되면 자원 낭비 및 관리가 어려워질 수 있기 때문입니다.
117,4지선다,소프트웨어공학,임시제목,싱글턴 패턴에서 DCL(Double-Checked Locking)을 사용하는 이유는 무엇인가요?,메모리 사용을 최적화하기 위해,멀티스레드 환경에서 성능 문제를 해결하기 위해,클래스 로딩 속도를 높이기 위해,객체 생성을 여러 번 허용하기 위해,2,"DCL은 멀티스레드 환경에서 성능을 개선하면서도, 객체가 두 번 생성되지 않도록 동기화 범위를 최소화해 싱글턴 인스턴스를 안전하게 관리할 수 있도록 합니다."
118,4지선다,소프트웨어공학,임시제목,소프트웨어 개발 생명 주기(SDLC)에서 요구사항을 수집하고 분석하는 단계는 무엇인가요?,계획 단계,구현 단계,요구사항 분석 단계,유지 보수 단계,3,요구사항 분석 단계에서는 고객의 요구사항을 수집하고 분석하여 시스템에 필요한 기능과 조건을 명확히 정의합니다.
119,4지선다,소프트웨어공학,임시제목,소프트웨어 테스트 단계 중에서 최종 사용자가 시스템이 요구사항을 충족하는지 확인하는 테스트는 무엇인가요?,단위 테스트,통합 테스트,시스템 테스트,인수 테스트,4,인수 테스트는 최종 사용자가 직접 시스템을 사용해 보며 요구사항이 충족되는지를 확인하는 단계입니다.
120,4지선다,소프트웨어공학,임시제목,애자일 방법론의 특징으로 옳은 것은 무엇인가요?,긴 개발 주기와 변경 불가능한 요구사항,짧은 개발 주기와 반복적인 피드백,일회성 개발과 고객과의 협력 감소,단일 팀의 독립적 개발,2,"애자일 방법론은 반복적이고 짧은 개발 주기를 통해 유연성을 높이며, 고객과의 긴밀한 협력과 피드백을 중요시합니다."
121,4지선다,소프트웨어공학,임시제목,유지 보수 단계에서 운영 환경 변화에 맞추어 소프트웨어를 수정하는 활동은 무엇인가요?,수정 유지 보수,예방 유지 보수,적응 유지 보수,기능적 유지 보수,3,적응 유지 보수는 소프트웨어가 환경 변화에 적응할 수 있도록 수정하는 활동을 의미합니다.
122,4지선다,소프트웨어공학,임시제목,DevOps의 주요 목적은 무엇인가요?,개발과 운영 간의 효율적 협력을 통한 품질 및 배포 속도 향상,단순한 개발 속도 향상,고객과의 소통 강화,개발과 운영의 분리,1,DevOps는 개발과 운영 팀이 협력하여 소프트웨어의 품질과 배포 속도를 향상시키는 것을 목표로 합니다.
123,4지선다,소프트웨어공학,임시제목,SDLC의 설계 단계에서 수행하는 활동으로 적절한 것은 무엇인가요?,코딩 및 코드 검토,사용자 인터페이스 설계,요구사항 수집,인수 테스트 수행,2,"설계 단계에서는 사용자 인터페이스(UI)와 시스템 인터페이스 설계, 데이터베이스 설계 등이 포함되어 시스템의 구조와 상세 설계를 정의합니다."
124,4지선다,소프트웨어공학,임시제목,소프트웨어 테스트 단계 중에서 개별 모듈이 올바르게 동작하는지 확인하는 테스트는 무엇인가요?,단위 테스트,통합 테스트,시스템 테스트,인수 테스트,1,"단위 테스트는 개별 모듈이 독립적으로 올바르게 동작하는지 확인하는 테스트로, 주로 개발자가 직접 수행합니다."
125,4지선다,소프트웨어공학,임시제목,유지 보수의 종류 중에서 발견된 버그를 수정하는 활동은 무엇인가요?,적응 유지 보수,예방 유지 보수,수정 유지 보수,기능적 유지 보수,3,수정 유지 보수는 소프트웨어 배포 후 발견된 버그나 결함을 수정하는 활동입니다.
126,4지선다,소프트웨어공학,임시제목,DevOps의 특징으로 옳은 것은 무엇인가요?,배포 및 운영 속도의 저하,자동화된 지속적 통합과 배포,계획 단계의 반복,개발과 운영의 분리,2,DevOps는 소프트웨어의 배포와 운영 속도를 높이기 위해 자동화된 지속적 통합(CI)과 지속적 배포(CD) 방식을 강조합니다.
127,4지선다,소프트웨어공학,임시제목,SDLC의 구현 단계에서 사용하는 주요 활동은 무엇인가요?,요구사항 수집,코드 작성 및 코드 검토,테스트 시나리오 작성,유지 보수 계획 수립,2,"구현 단계에서는 설계 명세를 바탕으로 코드를 작성하고, 코드의 품질을 보장하기 위해 코드 검토를 수행합니다."
128,4지선다,소프트웨어공학,임시제목,클래스 다이어그램의 Generalization 관계에 해당하는 것은?,객체가 다른 객체를 생성,상위 클래스가 하위 클래스를 상속,두 객체 간 메시지 교환,메서드 오버라이딩,2,Generalization 관계는 일반적인 클래스가 특화된 클래스로 상속되는 관계를 의미합니다.
129,4지선다,소프트웨어공학,임시제목,클래스 다이어그램에서 Aggregation 관계의 특징은 무엇인가요?,대상 클래스가 메인 클래스와 함께 삭제됨,대상 클래스는 독립적으로 존재 가능,상속 관계를 나타냄,인터페이스를 구현,2,Aggregation(집합) 관계는 메인 클래스가 삭제되어도 대상 클래스는 독립적으로 존재할 수 있는 약한 결합을 의미합니다.
130,4지선다,소프트웨어공학,임시제목,시퀀스 다이어그램에서 객체 간 메시지의 이동 방향은 무엇을 나타내나요?,객체의 속성,상속 관계,시간의 흐름,인터페이스 구현,3,시퀀스 다이어그램에서는 시간의 흐름에 따라 객체 간 메시지의 이동을 나타냅니다.
131,4지선다,소프트웨어공학,임시제목,시퀀스 다이어그램에서 객체가 자기 자신에게 메시지를 보내는 것을 무엇이라고 하나요?,내부 메시지,회계 메시지,순환 메시지,반환 메시지,2,"회계 메시지는 객체가 자기 자신에게 보내는 메시지로, 내부 호출을 의미합니다."
132,4지선다,소프트웨어공학,임시제목,클래스 다이어그램에서 Composition 관계의 예로 적합한 것은?,팩토리와 애드온,캐리어와 인터셉터 유닛,고객과 주문,학생과 과제,2,"Composition 관계에서는 메인 클래스가 사라지면 대상 클래스도 함께 삭제되며, 캐리어와 인터셉터 유닛이 이에 해당합니다."
133,4지선다,소프트웨어공학,임시제목,클래스 다이어그램에서 Dependency 관계를 나타내는 기호는 무엇인가요?,실선,점선 화살표,마름모 화살표,실선 화살표,2,"Dependency(의존) 관계는 점선 화살표로 나타내어, 한 객체가 다른 객체의 변경에 의존하는 것을 표현합니다."
134,4지선다,소프트웨어공학,임시제목,"시퀀스 다이어그램에서 메시지가 동기적으로 전달될 때, 어떤 특징이 있나요?",호출한 객체가 바로 종료됨,호출받은 객체가 결과를 반환해야 종료됨,모든 객체가 비활성화됨,메시지가 순환됨,2,동기 호출에서는 호출받은 객체가 결과를 반환해야 호출한 객체의 동작이 완료됩니다.
135,4지선다,소프트웨어공학,임시제목,클래스 다이어그램에서 집합 관계를 나타내는 기호는 무엇인가요?,빈 마름모,채워진 마름모,실선 화살표,점선 화살표,1,"Aggregation(집합) 관계는 빈 마름모로 표현되며, 메인 클래스가 삭제되어도 대상 클래스는 독립적으로 존재할 수 있습니다."
136,4지선다,소프트웨어공학,임시제목,클래스 다이어그램에서 Association 관계의 예로 적절한 것은?,상속,인터페이스 구현,객체가 다른 객체를 파라미터로 받음,상속 관계 없이 다른 객체를 소유함,3,Association(연관 관계)은 객체가 다른 객체를 파라미터로 받거나 수요할 때 나타냅니다.
137,4지선다,소프트웨어공학,임시제목,Association 관계의 특징은 무엇인가요?,상속 관계를 나타냄,객체 간 약한 결합을 표현,두 객체 간 양방향 관계를 표현,특정 객체가 다른 객체를 소유하는 관계를 표현,3,Association(연관 관계)은 두 객체 간 상호 연관성을 나타내며 양방향일 수 있습니다.
138,4지선다,소프트웨어공학,임시제목,클래스 다이어그램에서 연관 관계를 나타낼 때 사용되는 기호는?,실선과 화살표,점선과 큰 화살표,실선과 직사각형,점선과 마름모,1,"연관 관계는 실선과 화살표로 표시되며, 양방향 또는 단방향 관계를 나타냅니다."
139,4지선다,소프트웨어공학,임시제목,시퀀스 다이어그램에서 액터의 역할은 무엇인가요?,메시지를 전달받기만 함,클래스의 상속 관계를 정의함,메시지 체인을 시작함,객체 생명주기를 정의함,3,"시퀀스 다이어그램에서 액터는 메시지 체인을 시작하는 요소로, 주로 사용자나 외부 시스템을 나타냅니다."
140,4지선다,소프트웨어공학,임시제목,시퀀스 다이어그램 작성 시 객체의 위치를 선정할 때 기준이 되는 것은?,객체의 데이터 크기,시간 순서와 중요도,객체의 상속 관계,객체의 인터페이스 구현 여부,2,시퀀스 다이어그램에서 객체는 시간 순서와 중요도를 기준으로 왼쪽부터 오른쪽으로 배치합니다.
141,4지선다,소프트웨어공학,임시제목,클래스 다이어그램과 시퀀스 다이어그램의 주요 차이점은 무엇인가요?,"클래스 다이어그램은 상속을, 시퀀스 다이어그램은 상호작용을 나타냄","클래스 다이어그램은 메시지를, 시퀀스 다이어그램은 객체를 나타냄",클래스 다이어그램은 시간 순서에 따라 객체를 나열,시퀀스 다이어그램은 정적 관계를 나타냄,1,"클래스 다이어그램은 객체 간 상속과 연관 관계를 표현하고, 시퀀스 다이어그램은 객체 간의 동적 상호작용을 나타냅니다."
142,4지선다,소프트웨어공학,임시제목,클래스 다이어그램이란 무엇을 나타내는 다이어그램인가요?,객체 간의 동적 상호작용,클래스와 그들 간의 정적 관계,시스템의 상태 변화,객체의 생명주기,2,"클래스 다이어그램은 클래스 간의 구조적 관계를 표현하며, 클래스와 그들 간의 정적 관계를 나타내는 다이어그램입니다."
143,4지선다,소프트웨어공학,임시제목,시퀀스 다이어그램이란 무엇을 나타내는 다이어그램인가요?,클래스와 인터페이스의 관계,객체 간의 동적 상호작용을 시간의 흐름에 따라 모델링,데이터베이스 테이블 구조,컴포넌트 간의 의존성,2,시퀀스 다이어그램은 객체 간의 동적 상호작용을 시간의 흐름에 따라 표현하는 다이어그램입니다.
144,4지선다,소프트웨어공학,임시제목,단일 책임 원칙(SRP)은 무엇을 의미하나요?,클래스는 하나의 인스턴스만 가져야 한다.,클래스는 하나의 책임만 가져야 한다.,클래스는 항상 상속을 받아야 한다.,클래스는 항상 인터페이스를 구현해야 한다.,2,"단일 책임 원칙은 클래스가 하나의 책임만을 가지도록 설계해야 함을 의미하며, 이를 통해 유지보수성과 가독성을 높입니다."
145,4지선다,소프트웨어공학,임시제목,개방-폐쇄 원칙(OCP)의 핵심 개념은 무엇인가요?,클래스는 항상 인터페이스에 의존해야 한다.,"클래스는 확장에는 열려 있고, 수정에는 닫혀 있어야 한다.",클래스는 항상 추상화되어야 한다.,클래스는 한 가지 책임만 가져야 한다.,2,개방-폐쇄 원칙은 소프트웨어의 확장성 및 안정성을 높이기 위해 확장에는 열려 있고 수정에는 닫혀 있도록 설계해야 함을 의미합니다.
146,4지선다,소프트웨어공학,임시제목,리스코프 치환 원칙(LSP)이란 무엇을 의미하나요?,모든 클래스는 하나의 부모 클래스만 가질 수 있다.,자식 클래스는 부모 클래스를 대체할 수 있어야 한다.,클래스는 항상 구체 클래스에 의존해야 한다.,모든 메서드는 하나의 작업만 수행해야 한다.,2,"리스코프 치환 원칙은 자식 클래스가 부모 클래스의 기능을 대체할 수 있도록 설계해야 함을 의미하며, 이는 코드의 안정성을 높입니다."
147,4지선다,소프트웨어공학,임시제목,인터페이스 분리 원칙(ISP)의 목적은 무엇인가요?,클라이언트는 자신이 사용하지 않는 메서드에 의존하지 않도록 해야 한다.,클래스는 단 하나의 책임만 가져야 한다.,클래스는 인터페이스 없이 독립적으로 구현되어야 한다.,모든 클래스는 하나의 인터페이스를 가져야 한다.,1,"인터페이스 분리 원칙은 클라이언트가 불필요한 메서드에 의존하지 않도록 작은 인터페이스를 여러 개 정의해, 필요 없는 의존 관계를 줄입니다."
148,4지선다,소프트웨어공학,임시제목,의존 역전 원칙(DIP)의 핵심 개념은 무엇인가요?,상위 모듈은 하위 모듈에 의존해야 한다.,"추상화된 인터페이스에 의존해야 하며, 구체화된 구현에 의존하면 안 된다.",모든 클래스는 구체화된 클래스를 상속해야 한다.,모든 메서드는 하나의 작업만 수행해야 한다.,2,의존 역전 원칙은 코드의 유연성과 테스트 용이성을 높이기 위해 구체적인 구현보다는 추상화된 인터페이스에 의존하도록 설계해야 함을 의미합니다.
149,4지선다,소프트웨어공학,임시제목,개방-폐쇄 원칙을 지키기 위해 사용할 수 있는 디자인 패턴은 무엇인가요?,Singleton 패턴,Strategy 패턴,Observer 패턴,Factory 패턴,2,Strategy 패턴은 개방-폐쇄 원칙을 지키면서 기능을 확장할 수 있게 하여 코드 수정 없이 새로운 기능을 추가하는 유연한 설계를 가능하게 합니다.
150,4지선다,소프트웨어공학,임시제목,Factory Method 패턴의 주요 목적은 무엇인가요?,객체 생성의 구체적인 클래스를 숨기기 위해,객체 간의 관계를 강화하기 위해,객체의 행위를 캡슐화하기 위해,객체의 생명 주기를 관리하기 위해,1,Factory Method 패턴은 부모 클래스에서 객체 생성을 추상화하여 자식 클래스에서 구체적인 생성 방식이 결정되도록 해줍니다. 이는 구체적인 클래스에 의존하지 않고 유연하게 객체를 생성할 수 있게 합니다.
151,4지선다,소프트웨어공학,임시제목,Builder 패턴의 사용 목적은 무엇인가요?,클래스의 상속 구조를 단순화하기 위해,객체의 복잡한 생성 과정을 분리하여 단계별로 설정할 수 있도록 하기 위해,객체의 관계를 느슨하게 만들기 위해,객체의 생성 속도를 높이기 위해,2,Builder 패턴은 복잡한 객체를 생성하는 과정에서 각 단계를 독립적으로 처리할 수 있게 합니다. 동일한 생성 과정을 통해 다양한 표현을 만들 수 있도록 설계됩니다.
152,4지선다,소프트웨어공학,임시제목,Observer 패턴은 어떤 경우에 유용하게 사용될까요?,특정 객체의 상태 변화가 다른 객체에 영향을 미칠 때,객체 생성을 서브 클래스에서 결정할 때,다양한 알고리즘을 쉽게 교체할 때,객체의 특정 기능을 확장할 때,1,Observer 패턴은 한 객체의 상태 변화가 다른 객체에 실시간으로 반영되도록 설계하는 패턴입니다. 주로 이벤트 기반의 알림 시스템이나 데이터 연동이 필요한 경우에 활용됩니다.
153,4지선다,소프트웨어공학,임시제목,Composite 패턴의 주요 특징은 무엇인가요?,객체를 계층 구조로 구성하여 단일 객체와 복합 객체를 동일하게 다루기 위해,객체의 생성을 제한하고 단일 인스턴스만 제공하기 위해,객체의 상태 변화에 따라 다른 객체에 자동으로 알리기 위해,객체의 구체적인 클래스에 대한 의존성을 제거하기 위해,1,Composite 패턴은 객체를 트리 구조로 구성하여 단일 객체와 복합 객체를 동일하게 다룰 수 있도록 해줍니다. 이를 통해 클라이언트는 단일 객체와 복합 객체에 대해 동일한 방식으로 작업할 수 있습니다.
154,4지선다,프로그래밍,임시제목,객체지향 프로그래밍의 주요 특징 중 캡슐화(Encapsulation)의 목적은 무엇인가요?,코드 중복을 줄이기 위해,데이터와 메서드를 하나의 단위로 묶어 외부에서 접근을 제어하기 위해,객체 간 상속 관계를 명확히 하기 위해,상속을 통해 코드 재사용성을 높이기 위해,2,"캡슐화는 객체의 데이터와 해당 데이터를 조작하는 메서드를 하나의 단위로 묶고, 외부에서 접근할 수 있는 범위를 제어하여 데이터의 무결성을 보호하는 역할을 합니다."
155,4지선다,프로그래밍,임시제목,상속(Inheritance)의 주요 이점은 무엇인가요?,객체의 속성을 숨기기 위해,코드를 모듈화하기 위해,코드의 재사용성과 계층 구조를 통해 객체 간 관계를 명확히 하기 위해,다양한 인터페이스를 구현하기 위해,3,"상속은 기존 클래스의 기능을 재사용하여 새로운 클래스를 생성할 수 있게 합니다. 이를 통해 코드의 재사용성을 높이고, 계층 구조를 통해 객체 간의 관계를 명확히 정의할 수 있습니다."
156,4지선다,프로그래밍,임시제목,다형성(Polymorphism)의 특징으로 올바른 설명은 무엇인가요?,동일한 메서드 이름을 가진 메서드를 하나만 정의하는 것,"하나의 객체가 여러 형태로 해석되며, 동일한 인터페이스로 서로 다른 객체를 다룰 수 있게 하는 것",객체의 생성을 제한하여 단일 인스턴스만 사용하도록 하는 것,메서드의 반환값을 다르게 정의하는 것,2,"다형성은 하나의 인터페이스로 서로 다른 객체를 동일하게 다룰 수 있게 해주며, 동일한 메시지에 대해 객체별로 다른 반응을 할 수 있도록 합니다. 이는 코드의 유연성과 확장성을 높이는 중요한 객체지향 개념입니다."
157,4지선다,프로그래밍,임시제목,추상화(Abstraction)의 개념에 대해 올바르게 설명한 것은 무엇인가요?,객체의 내부 데이터를 숨기는 방식,객체 간 관계를 상속을 통해 정의하는 것,중요한 속성과 행동을 정의하여 객체의 복잡성을 줄이고 필요한 부분만 노출하는 것,객체를 여러 개 생성하지 않도록 제약하는 것,3,"추상화는 복잡한 시스템에서 꼭 필요한 속성과 행동만을 정의하여, 불필요한 세부 사항은 숨기고 중요한 부분만 노출하여 객체의 복잡성을 줄이는 역할을 합니다."
158,OX,운영체제,임시제목,CPU 작업 시간을 여러 프로그램들이 조금씩 나누어 쓰는 시스템을 시분할 시스템(time sharing system)이라고 한다.,O,X,,,1,"시분할 시스템은 CPU 시간을 여러 사용자 또는 프로그램이 조금씩 나누어 사용하는 방식으로, 각 작업이 빠르게 번갈아 가며 CPU를 사용하는 방식입니다."
159,OX,운영체제,임시제목,CPU와 달리 메모리의 경우 여러 프로그램들이 조금씩 메모리 공간을 보유하며 동시에 메모리에 올라갈 수 없다.,O,X,,,2,메모리도 분할을 통해 여러 프로그램이 동시에 일부 메모리 공간을 할당받고 함께 메모리에 올라갈 수 있습니다. 다중 프로그래밍이 이를 가능하게 합니다.
160,OX,운영체제,임시제목,다중처리기 시스템(multi-processor system)은 하나의 컴퓨터 안에 CPU가 여러 개 설치된 경우를 뜻한다.,O,X,,,1,"다중처리기 시스템은 하나의 컴퓨터에 여러 CPU가 설치된 경우로, 이를 통해 여러 작업을 병렬로 처리할 수 있습니다."
161,OX,운영체제,임시제목,입출력 장치는 CPU나 메모리와 달리 인터럽트라는 메커니즘을 통해 관리가 이루어진다.,O,X,,,1,입출력 장치는 인터럽트 메커니즘을 통해 CPU와의 비동기 처리를 지원합니다. 이는 입출력 작업이 완료되면 CPU에 알려주는 방식입니다.
162,OX,운영체제,임시제목,운영체제는 인터럽트의 종류마다 서로 다른 인터럽트 처리 루틴을 가지고 있다.,O,X,,,1,"운영체제는 각 인터럽트의 종류에 맞는 별도의 처리 루틴을 정의하여, 상황에 맞게 적절한 처리를 할 수 있도록 합니다."
163,OX,운영체제,임시제목,다수의 프로그램이 동시에 주기억 장치에 있도록 한 방식을 다중 프로그래밍(multi-programming) 시스템이라고 부른다.,O,X,,,1,다중 프로그래밍 시스템은 여러 프로그램이 동시에 메모리에 존재하며 CPU를 번갈아 사용하는 방식입니다.
